"FID","Shape..","OBJECTID","FID_JERVeg","VegUnite","ZST_DOM","ZND_DOM","ZRD_DOM","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","FGUnite","Dom1FG","Dom2FG","Dom3FG"
"135","Polygon","136","64","PRGL2,ATCA2,GUSA2","PRGL2","ATCA2","GUSA2","20010026.02","4","Draw","6092080.685","8600.893695","398621.2764","shrub,shrub,subshrub","shrub","shrub","subshrub"
"136","Polygon","137","64","PRGL2,ATCA2,GUSA2","PRGL2","ATCA2","GUSA2","20010026.02","11","Sandy","368111095.6","50103.5717","15083461.35","shrub,shrub,subshrub","shrub","shrub","subshrub"
"137","Polygon","138","64","PRGL2,ATCA2,GUSA2","PRGL2","ATCA2","GUSA2","20010026.02","13","Shallow sandy","25426676.89","31.778777","52.492921","shrub,shrub,subshrub","shrub","shrub","subshrub"
"138","Polygon","139","65","PRGL2,ATCA2,YUEL","PRGL2","ATCA2","YUEL","554129.0121","3","Deep sand","119701060","1371.235163","133220.0114","shrub,shrub,succulent","shrub","shrub","succulent"
"139","Polygon","140","65","PRGL2,ATCA2,YUEL","PRGL2","ATCA2","YUEL","554129.0121","11","Sandy","368111095.6","4232.765404","420908.9998","shrub,shrub,succulent","shrub","shrub","succulent"
"140","Polygon","141","66","PRGL2,BOER4,GUSA2","PRGL2","BOER4","GUSA2","5175464.985","11","Sandy","368111095.6","17906.21078","2944399.518","shrub,PG,subshrub","shrub","PG","subshrub"
"141","Polygon","142","66","PRGL2,BOER4,GUSA2","PRGL2","BOER4","GUSA2","5175464.985","13","Shallow sandy","25426676.89","16559.28247","2231065.471","shrub,PG,subshrub","shrub","PG","subshrub"
"142","Polygon","143","67","PRGL2,GUSA2,","PRGL2","GUSA2","","7414817.155","2","Clayey","13244532.45","659.741944","18894.91591","shrub,subshrub","shrub","subshrub",NA
"143","Polygon","144","67","PRGL2,GUSA2,","PRGL2","GUSA2","","7414817.155","3","Deep sand","119701060","9869.613453","2379561.969","shrub,subshrub","shrub","subshrub",NA
"144","Polygon","145","67","PRGL2,GUSA2,","PRGL2","GUSA2","","7414817.155","11","Sandy","368111095.6","18127.72431","5016360.27","shrub,subshrub","shrub","subshrub",NA
"145","Polygon","146","68","PRGL2,GUSA2,ARFI2","PRGL2","GUSA2","ARFI2","6043387.71","3","Deep sand","119701060","33675.49029","4855417.244","shrub,subshrub,shrub","shrub","subshrub","shrub"
"146","Polygon","147","68","PRGL2,GUSA2,ARFI2","PRGL2","GUSA2","ARFI2","6043387.71","4","Draw","6092080.685","7341.967242","238123.3387","shrub,subshrub,shrub","shrub","subshrub","shrub"
"147","Polygon","148","68","PRGL2,GUSA2,ARFI2","PRGL2","GUSA2","ARFI2","6043387.71","5","Gravelly","53527326.23","5953.774267","333146.6838","shrub,subshrub,shrub","shrub","subshrub","shrub"
"148","Polygon","149","68","PRGL2,GUSA2,ARFI2","PRGL2","GUSA2","ARFI2","6043387.71","7","Limestone hills","125520706.8","9080.064938","616700.3541","shrub,subshrub,shrub","shrub","subshrub","shrub"
"149","Polygon","150","69","PRGL2,GUSA2,ATCA2","PRGL2","GUSA2","ATCA2","22791796.19","3","Deep sand","119701060","343.467416","2358.712611","shrub,subshrub,shrub","shrub","subshrub","shrub"
"150","Polygon","151","69","PRGL2,GUSA2,ATCA2","PRGL2","GUSA2","ATCA2","22791796.19","11","Sandy","368111095.6","64490.15174","22789437.48","shrub,subshrub,shrub","shrub","subshrub","shrub"
"151","Polygon","152","70","PRGL2,GUSA2,BOER4","PRGL2","GUSA2","BOER4","350266.078","1","Bottomland","35299777.56","674.4819","9931.223246","shrub,subshrub,PG","shrub","subshrub","PG"
"152","Polygon","153","70","PRGL2,GUSA2,BOER4","PRGL2","GUSA2","BOER4","350266.078","3","Deep sand","119701060","2596.902641","340334.8559","shrub,subshrub,PG","shrub","subshrub","PG"
"153","Polygon","154","71","PRGL2,GUSA2,EPHspp","PRGL2","GUSA2","EPHspp","1717285.191","11","Sandy","368111095.6","10818.11553","1717285.191","shrub,subshrub,succulent","shrub","subshrub","succulent"
"154","Polygon","155","72","PRGL2,GUSA2,LATR2","PRGL2","GUSA2","LATR2","4235847.713","3","Deep sand","119701060","13942.07828","2204670.387","shrub,subshrub,shrub","shrub","subshrub","shrub"
"155","Polygon","156","72","PRGL2,GUSA2,LATR2","PRGL2","GUSA2","LATR2","4235847.713","4","Draw","6092080.685","5462.065279","249884.2361","shrub,subshrub,shrub","shrub","subshrub","shrub"
"156","Polygon","157","72","PRGL2,GUSA2,LATR2","PRGL2","GUSA2","LATR2","4235847.713","5","Gravelly","53527326.23","1236.803802","35815.49948","shrub,subshrub,shrub","shrub","subshrub","shrub"
"157","Polygon","158","72","PRGL2,GUSA2,LATR2","PRGL2","GUSA2","LATR2","4235847.713","7","Limestone hills","125520706.8","486.147838","9352.481306","shrub,subshrub,shrub","shrub","subshrub","shrub"
"158","Polygon","159","72","PRGL2,GUSA2,LATR2","PRGL2","GUSA2","LATR2","4235847.713","11","Sandy","368111095.6","6390.475616","1736125.113","shrub,subshrub,shrub","shrub","subshrub","shrub"
"159","Polygon","160","73","PRGL2,GUSA2,MUPO2","PRGL2","GUSA2","MUPO2","3129760.598","3","Deep sand","119701060","10177.49897","2311905.581","shrub,subshrub,PG","shrub","subshrub","PG"
"160","Polygon","161","73","PRGL2,GUSA2,MUPO2","PRGL2","GUSA2","MUPO2","3129760.598","11","Sandy","368111095.6","9420.772846","817855.0178","shrub,subshrub,PG","shrub","subshrub","PG"
"161","Polygon","162","74","PRGL2,GUSA2,SPORO","PRGL2","GUSA2","SPORO","463100.7749","3","Deep sand","119701060","4442.745859","463100.7749","shrub,subshrub,PG","shrub","subshrub","PG"
"162","Polygon","163","75","PRGL2,LATR2,FLCE","PRGL2","LATR2","FLCE","2027614.539","11","Sandy","368111095.6","9147.173499","2027159.098","shrub,shrub,shrub","shrub","shrub","shrub"
"163","Polygon","164","75","PRGL2,LATR2,FLCE","PRGL2","LATR2","FLCE","2027614.539","13","Shallow sandy","25426676.89","104.468056","455.440591","shrub,shrub,shrub","shrub","shrub","shrub"
"164","Polygon","165","76","PRGL2,LATR2,GUSA2","PRGL2","LATR2","GUSA2","1453631.343","3","Deep sand","119701060","5044.196302","654101.4833","shrub,shrub,subshrub","shrub","shrub","subshrub"
"165","Polygon","166","76","PRGL2,LATR2,GUSA2","PRGL2","LATR2","GUSA2","1453631.343","4","Draw","6092080.685","1907.827847","97356.60456","shrub,shrub,subshrub","shrub","shrub","subshrub"
"166","Polygon","167","76","PRGL2,LATR2,GUSA2","PRGL2","LATR2","GUSA2","1453631.343","11","Sandy","368111095.6","5413.232903","702173.256","shrub,shrub,subshrub","shrub","shrub","subshrub"
"167","Polygon","168","77","PRGL2,SPORO,BOER4","PRGL2","SPORO","BOER4","453711.9853","3","Deep sand","119701060","4587.222235","421692.5417","shrub,PG,PG","shrub","PG","PG"
"168","Polygon","169","77","PRGL2,SPORO,BOER4","PRGL2","SPORO","BOER4","453711.9853","11","Sandy","368111095.6","730.303665","32019.44359","shrub,PG,PG","shrub","PG","PG"
"169","Polygon","170","78","PRGL2,ATCA2,YUEL","PRGL2","ATCA2","YUEL","57880.57273","11","Sandy","368111095.6","974.96988","57880.57273","shrub,shrub,succulent","shrub","shrub","succulent"
"170","Polygon","171","79","PSSC6,ARFI2,YUEL","PSSC6","ARFI2","YUEL","918549.7069","11","Sandy","368111095.6","4728.987331","918549.7069","shrub,shrub,succulent","shrub","shrub","succulent"
"171","Polygon","172","80","PSSC6,YUEL,GUSA2","PSSC6","YUEL","GUSA2","3251413.547","11","Sandy","368111095.6","10915.23708","3251413.547","shrub,succulent,subshrub","shrub","succulent","subshrub"
"172","Polygon","173","81","SCBR2,ARIST,BOER4","SCBR2","ARIST","BOER4","14632952.14","2","Clayey","13244532.45","3706.563234","244074.812","PG,PG,PG","PG","PG","PG"
"173","Polygon","174","81","SCBR2,ARIST,BOER4","SCBR2","ARIST","BOER4","14632952.14","11","Sandy","368111095.6","64897.65689","14388877.33","PG,PG,PG","PG","PG","PG"
"174","Polygon","175","82","SCBR2,BOER4,ARIST","SCBR2","BOER4","ARIST","3233519.159","11","Sandy","368111095.6","14743.47652","3233519.159","PG,PG,PG","PG","PG","PG"
"175","Polygon","176","83","SCBR2,BOER4,FLCE","SCBR2","BOER4","FLCE","247558.2597","11","Sandy","368111095.6","2117.069349","247558.2597","PG,PG,shrub","PG","PG","shrub"
"176","Polygon","177","84","SCBR2,BOER4,MUAR","SCBR2","BOER4","MUAR","6708007.482","2","Clayey","13244532.45","8365.788805","1155605.094","PG,PG,PG","PG","PG","PG"
"177","Polygon","178","84","SCBR2,BOER4,MUAR","SCBR2","BOER4","MUAR","6708007.482","11","Sandy","368111095.6","26820.68865","5317282.132","PG,PG,PG","PG","PG","PG"
"178","Polygon","179","85","SCBR2,BOER4,SPORO","SCBR2","BOER4","SPORO","453117.5707","11","Sandy","368111095.6","4000.938042","453117.5707","PG,PG,PG","PG","PG","PG"
"179","Polygon","180","86","SCBR2,PLMU3,","SCBR2","PLMU3","","2722416.704","1","Bottomland","35299777.56","10174.07037","528150.0461","PG,PG","PG","PG",NA
"180","Polygon","181","86","SCBR2,PLMU3,","SCBR2","PLMU3","","2722416.704","4","Draw","6092080.685","398.113947","9718.454645","PG,PG","PG","PG",NA
"181","Polygon","182","86","SCBR2,PLMU3,","SCBR2","PLMU3","","2722416.704","5","Gravelly","53527326.23","6304.251177","596780.706","PG,PG","PG","PG",NA
"182","Polygon","183","86","SCBR2,PLMU3,","SCBR2","PLMU3","","2722416.704","8","Loamy","15362815.09","2862.578976","144162.0729","PG,PG","PG","PG",NA
"183","Polygon","184","86","SCBR2,PLMU3,","SCBR2","PLMU3","","2722416.704","11","Sandy","368111095.6","10412.303","1443605.417","PG,PG","PG","PG",NA
"184","Polygon","185","87","SCBR2,PLMU3,ARIST","SCBR2","PLMU3","ARIST","358596.0958","11","Sandy","368111095.6","4523.069907","358596.0958","PG,PG,PG","PG","PG","PG"
"185","Polygon","186","88","SCBR2,PLMU3,BOER4","SCBR2","PLMU3","BOER4","2142123.83","2","Clayey","13244532.45","5204.402825","633239.1204","PG,PG,PG","PG","PG","PG"
"186","Polygon","187","88","SCBR2,PLMU3,BOER4","SCBR2","PLMU3","BOER4","2142123.83","11","Sandy","368111095.6","11417.65279","1508884.708","PG,PG,PG","PG","PG","PG"
"187","Polygon","188","89","SCBR2,PLMU3,EPHspp","SCBR2","PLMU3","EPHspp","4277692.622","11","Sandy","368111095.6","15572.43487","4277692.622","PG,PG,succulent","PG","PG","succulent"
"188","Polygon","189","90","SCBR2,PLMU3,FLCE","SCBR2","PLMU3","FLCE","2414943.254","2","Clayey","13244532.45","749.084381","22736.37785","PG,PG,shrub","PG","PG","shrub"
"189","Polygon","190","90","SCBR2,PLMU3,FLCE","SCBR2","PLMU3","FLCE","2414943.254","11","Sandy","368111095.6","18375.71814","2392206.877","PG,PG,shrub","PG","PG","shrub"
"190","Polygon","191","91","SCBR2,PLMU3,GUSA2","SCBR2","PLMU3","GUSA2","694919.1368","2","Clayey","13244532.45","683.297756","21408.58296","PG,PG,subshrub","PG","PG","subshrub"
"191","Polygon","192","91","SCBR2,PLMU3,GUSA2","SCBR2","PLMU3","GUSA2","694919.1368","11","Sandy","368111095.6","7844.038838","673510.5536","PG,PG,subshrub","PG","PG","subshrub"
"192","Polygon","193","92","SCBR2,PLMU3,MUAR","SCBR2","PLMU3","MUAR","2086186.306","2","Clayey","13244532.45","4709.509791","518521.4164","PG,PG,PG","PG","PG","PG"
"193","Polygon","194","92","SCBR2,PLMU3,MUAR","SCBR2","PLMU3","MUAR","2086186.306","11","Sandy","368111095.6","6822.514016","1447978.088","PG,PG,PG","PG","PG","PG"
"194","Polygon","195","93","SCBR2,PLMU3,SPAI","SCBR2","PLMU3","SPAI","3162058.12","1","Bottomland","35299777.56","10711.26124","1055140.74","PG,PG,PG","PG","PG","PG"
"195","Polygon","196","93","SCBR2,PLMU3,SPAI","SCBR2","PLMU3","SPAI","3162058.12","5","Gravelly","53527326.23","1919.90662","79668.04711","PG,PG,PG","PG","PG","PG"
"196","Polygon","197","93","SCBR2,PLMU3,SPAI","SCBR2","PLMU3","SPAI","3162058.12","8","Loamy","15362815.09","2084.563446","63314.84224","PG,PG,PG","PG","PG","PG"
"197","Polygon","198","93","SCBR2,PLMU3,SPAI","SCBR2","PLMU3","SPAI","3162058.12","11","Sandy","368111095.6","17234.64151","1963934.488","PG,PG,PG","PG","PG","PG"
"198","Polygon","199","94","SCBR2,SPAI,GUSA2","SCBR2","SPAI","GUSA2","1012249.058","11","Sandy","368111095.6","5105.867568","1012249.058","PG,PG,subshrub","PG","PG","subshrub"
"199","Polygon","200","95","SCBR2,SPAI,PLMU3","SCBR2","SPAI","PLMU3","1243670.404","1","Bottomland","35299777.56","6345.961964","751287.8572","PG,PG,PG","PG","PG","PG"
"200","Polygon","201","95","SCBR2,SPAI,PLMU3","SCBR2","SPAI","PLMU3","1243670.404","5","Gravelly","53527326.23","792.894353","45921.84021","PG,PG,PG","PG","PG","PG"
"201","Polygon","202","95","SCBR2,SPAI,PLMU3","SCBR2","SPAI","PLMU3","1243670.404","8","Loamy","15362815.09","1500.860859","84441.99207","PG,PG,PG","PG","PG","PG"
"202","Polygon","203","95","SCBR2,SPAI,PLMU3","SCBR2","SPAI","PLMU3","1243670.404","11","Sandy","368111095.6","3140.277592","362018.7164","PG,PG,PG","PG","PG","PG"
"203","Polygon","204","96","SCBR2,SPORO,BOER4","SCBR2","SPORO","BOER4","1671713.273","11","Sandy","368111095.6","8275.456091","1671713.273","PG,PG,PG","PG","PG","PG"
"204","Polygon","205","97","SPORssp,FLCE,PLMU3","SPORssp","FLCE","PLMU3","679058.4573","1","Bottomland","35299777.56","3385.133351","336107.5291","shrub,PG",NA,"shrub","PG"
"205","Polygon","206","97","SPORssp,FLCE,PLMU3","SPORssp","FLCE","PLMU3","679058.4573","5","Gravelly","53527326.23","4042.946766","305052.2296","shrub,PG",NA,"shrub","PG"
"206","Polygon","207","97","SPORssp,FLCE,PLMU3","SPORssp","FLCE","PLMU3","679058.4573","11","Sandy","368111095.6","906.620741","37898.69845","shrub,PG",NA,"shrub","PG"
